DEPTH	CALI	CORE_POR	DT	GR	LLD	LLS	MSFL	NPHI	RHOB	CORE_KH	CORE_KV	MD_m	RFT	TVDSS	UTME	UTMN
1232.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.912231	-999.25	1222.21228	400940.5938	87050.89844
1233	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.012207	-999.25	1222.312256	400940.5938	87050.89844
1233.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.112305	-999.25	1222.412354	400940.5938	87050.89844
1233.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.212402	-999.25	1222.512451	400940.5938	87050.89844
1233.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.312378	-999.25	1222.612427	400940.5938	87050.89844
1233.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.412476	-999.25	1222.712524	400940.5938	87050.89844
1233.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.512451	-999.25	1222.8125	400940.5938	87050.89844
1233.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.612549	-999.25	1222.912598	400940.5938	87050.89844
1233.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.712524	-999.25	1223.012573	400940.5938	87050.89844
1233.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.812622	-999.25	1223.112671	400940.5938	87050.89844
1233.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.912598	-999.25	1223.212647	400940.5938	87050.89844
